misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,815,11.896377,0.556,0.444,16.538828791420908,1.4189385175704956,0.004919131411952549,32.35390060022473
40,157440,836,11.853738,0.558,0.442,16.58307602743432,1.4189385175704956,0.009059934016840998,30.13557642037049
60,234240,845,12.342748,0.568,0.432,16.644310714928434,1.4189385175704956,0.013924237330502364,27.714476913772522
80,311040,850,11.567132,0.546,0.452,16.643226246563717,1.4189385175704956,0.011406725097913295,30.521093545854093
100,387840,853,12.511795,0.576,0.424,17.03044895981252,1.4189385175704956,0.015872783527811407,35.93941582925618
120,464640,854,13.711195,0.612,0.388,16.805377339620144,1.4189385175704956,0.01987068444141187,21.34059596583247
140,541440,856,11.568791,0.554,0.446,16.833542933776975,1.4189385175704956,0.023670837403915356,23.67480653896928
160,618240,857,15.34959,0.662,0.338,17.757632827665656,1.4189385175704956,0.01881039194195182,18.139332866296172
180,695040,858,14.267236,0.62,0.38,17.034603854857384,1.4189385175704956,0.01700408724718727,24.89684215039015
200,771840,859,14.75625,0.634,0.366,17.24811159844324,1.4189385175704956,0.051319894368498355,20.952761369012297
220,848640,859,12.701344,0.58,0.42,16.913974743045866,1.4189385175704956,0.012078649217437487,25.717505561187863
240,925440,860,13.168494,0.596,0.404,16.881432827547194,1.4189385175704956,0.013606801795322098,22.77254760451615
260,1002240,860,15.006596,0.644,0.356,17.08300721488334,1.4189385175704956,0.014646707349220378,22.50303807929158
280,1079040,860,15.3473,0.652,0.348,17.442788821626454,1.4189385175704956,0.013120026711112587,20.035018467344344
300,1155840,860,15.896894,0.664,0.336,17.597899879032745,1.4189385175704956,0.014891711468226276,22.58010596074164
320,1232640,860,16.186586,0.672,0.328,17.74974466712959,1.4189385175704956,0.016758692082294146,22.44807965438813
340,1309440,861,16.819464,0.692,0.308,17.775088506195694,1.4189385175704956,0.029213501990307124,15.714522842690348
360,1386240,861,16.909456,0.688,0.312,18.072001127041876,1.4189385175704956,0.02013806856775773,17.110932447761297
380,1463040,861,17.286165,0.704,0.296,18.348472620305607,1.4189385175704956,0.012007601580808113,19.160344457626344
400,1539840,861,15.967595,0.664,0.336,18.08494278780068,1.4189385175704956,0.01886125040546176,23.71662260526791
420,1616640,861,18.417278,0.728,0.272,19.10439721382223,1.4189385175704956,0.022541567641019354,16.63789683803916
440,1693440,861,18.038471,0.728,0.272,18.706765828581528,1.4189385175704956,0.014283911755046574,18.410599653515966
460,1770240,862,17.577778,0.708,0.292,19.177261303151028,1.4189385175704956,0.011021478741895407,16.634239158499987
480,1847040,862,16.718336,0.69,0.31,19.343166271263733,1.4189385175704956,0.013193473537285172,18.243556318292395
500,1923840,862,21.341063,0.806,0.194,20.4029886180209,1.4189385175704956,0.01164056974266714,8.36890611150302
520,2000640,862,21.095945,0.8,0.2,20.343592628154905,1.4189385175704956,0.008860242302762344,12.71309127639979
