misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,627,-16.863813,0.0,0.782,23.485874558629934,1.4189385175704956,-0.0011938781331991776,6.425091845262796
40,157440,626,-9.919915,0.016,0.768,24.25528024088405,1.4189385175704956,0.002228448318055598,5.6113600097596645
60,234240,624,-1.441119,0.162,0.65,26.766441988995822,1.4189385175704956,0.004864715281291865,6.293566283769906
80,311040,625,2.4614904,0.352,0.61,22.586115728298203,1.4189385175704956,0.004036606234149076,9.575127037614584
100,387840,625,9.402895,0.506,0.448,26.17558698967658,1.4189385175704956,0.007456322514372005,8.705903714895248
120,464640,628,10.6818495,0.538,0.42,26.955975173654267,1.4189385175704956,0.006259365899313707,5.458275370672345
140,541440,629,10.346603,0.54,0.42,26.150228395749814,1.4189385175704956,0.00944989551062463,8.280783155560494
160,618240,630,9.419386,0.508,0.458,25.46197261596052,1.4189385175704956,0.015044204756850376,18.190127356164158
180,695040,630,10.074584,0.542,0.446,23.66296926796611,1.4189385175704956,0.012886633784364675,11.489010696113109
200,771840,630,11.112379,0.566,0.426,23.310141309206607,1.4189385175704956,0.00757542682949861,16.710301753226666
220,848640,629,15.113712,0.666,0.322,25.20150692307204,1.4189385175704956,0.008027009312354495,12.66379532776773
240,925440,629,13.1836815,0.6,0.38,24.445191384424223,1.4189385175704956,0.005804867937695235,11.509898817352951
260,1002240,629,14.998569,0.652,0.33,24.59226658325782,1.4189385175704956,0.008620710592367686,9.731229742243887
280,1079040,628,15.316167,0.67,0.322,24.035495311589912,1.4189385175704956,0.007736457313876599,12.5753925726749
300,1155840,629,16.599457,0.7,0.294,24.6665779965939,1.4189385175704956,0.00692320672533242,11.50078889755532
320,1232640,629,12.612041,0.602,0.39,22.58039025994437,1.4189385175704956,0.009814717702101915,17.39852963667363
340,1309440,628,12.07092,0.594,0.404,21.78247611008352,1.4189385175704956,0.013660771349532298,16.699314628262073
360,1386240,628,14.603456,0.656,0.34,23.37714864699356,1.4189385175704956,0.009621714212698862,9.7007393123582
380,1463040,628,15.545169,0.672,0.324,24.610672340773977,1.4189385175704956,0.005884679096925538,12.885180750023574
400,1539840,628,17.472519,0.712,0.288,24.328532735992223,1.4189385175704956,0.011169921897817403,13.463110406231134
420,1616640,628,16.085148,0.684,0.312,23.190374387417453,1.4189385175704956,0.006413597377832048,14.993405518494546
440,1693440,621,16.172483,0.692,0.308,22.161647900584153,1.4189385175704956,0.009893661447131307,15.923865230660885
460,1770240,620,15.459085,0.668,0.332,22.429657869815827,1.4189385175704956,0.005454015024588444,14.30410950719379
480,1847040,620,18.000736,0.736,0.262,22.333977506462485,1.4189385175704956,0.016024580562952907,17.395328767690806
500,1923840,621,17.91733,0.732,0.268,23.030125624527223,1.4189385175704956,0.005368146346881986,11.846702201664447
520,2000640,622,15.265826,0.662,0.338,20.391308438987473,1.4189385175704956,0.013009177791536786,22.68765948228538
540,2077440,622,15.158367,0.648,0.352,21.218649615937842,1.4189385175704956,0.008692735346994596,20.987248544907196
560,2154240,622,14.939477,0.65,0.344,21.062009604752763,1.4189385175704956,0.009429381595691667,14.48448097682558
580,2231040,622,11.802409,0.574,0.422,20.060398008000107,1.4189385175704956,0.008736100376700051,15.905536426627076
600,2307840,622,13.919257,0.628,0.37,20.723456751789666,1.4189385175704956,0.008230292276130058,13.990305691352114
620,2384640,622,17.83961,0.716,0.276,21.772614673812875,1.4189385175704956,0.008048602886265143,11.445220038015396
640,2461440,622,16.213129,0.68,0.32,21.97597893062141,1.4189385175704956,0.013258051385855651,13.458745138207451
660,2538240,623,16.45843,0.688,0.312,21.416139523607214,1.4189385175704956,0.011249425133428304,19.379671448934822
680,2615040,623,17.963545,0.73,0.27,21.29258073258493,1.4189385175704956,0.008378072385676205,12.895887191407382
700,2691840,623,17.542824,0.714,0.286,21.70879449332552,1.4189385175704956,0.009977120443363675,16.36169227231294
720,2768640,623,18.726646,0.748,0.25,21.26133366004005,1.4189385175704956,0.008523848056211137,14.847287519345992
740,2845440,622,16.180351,0.684,0.312,21.08024158713501,1.4189385175704956,0.002222997826174833,12.54788219910115
760,2922240,622,20.219477,0.786,0.214,21.62451703668386,1.4189385175704956,0.011202945218246895,18.110779057932085
780,2999040,622,18.525759,0.74,0.26,21.355288310229778,1.4189385175704956,0.009688246474979678,14.479979580594227
800,3075840,622,21.72313,0.818,0.182,21.60903138341755,1.4189385175704956,0.005721325328340754,12.091799223958514
820,3152640,622,22.810078,0.856,0.142,22.842112860081716,1.4189385175704956,0.0022478754712210503,9.54632821911946
840,3229440,621,22.818222,0.846,0.154,22.458049853459933,1.4189385175704956,0.0032949490123428404,8.47048522005789
860,3306240,621,20.710676,0.794,0.206,21.73984353524819,1.4189385175704956,0.0033687053073663265,10.665625941636971
880,3383040,621,19.539766,0.762,0.238,21.110183467708527,1.4189385175704956,0.008411390717083123,10.975267174607144
900,3459840,621,22.754398,0.848,0.152,21.98635358568956,1.4189385175704956,0.009734188793663634,6.488046292564832
920,3536640,621,22.816828,0.848,0.152,22.253578880454413,1.4189385175704956,0.005087381502380595,5.67197395702824
