misc/nupdates,misc/total_timesteps,fps,eprewmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,327,12.712777,0.576,0.424,16.457335919737815,1.4189385175704956,-0.0001301868847804144,24.632350206375122
40,157440,332,11.5717325,0.546,0.454,16.474388753041627,1.4189385175704956,-0.0001234434290381614,25.568713635206223
60,234240,339,11.569205,0.542,0.458,16.69260312307626,1.4189385175704956,-0.0002669591136509553,24.502138489484786
80,311040,343,12.0961075,0.568,0.432,16.398065253384413,1.4189385175704956,-4.4559501839103176e-05,20.213953422009943
100,387840,346,11.978072,0.558,0.442,16.584168614517896,1.4189385175704956,-0.00012697903403022793,25.86239457577467
120,464640,349,12.578507,0.576,0.424,16.67544012626633,1.4189385175704956,-4.5216062426334246e-05,24.754240909218787
140,541440,350,10.236744,0.516,0.484,16.06707138814777,1.4189385175704956,-0.0004273907383321784,27.319886967539787
160,618240,351,12.437273,0.574,0.426,16.537452806510032,1.4189385175704956,-0.0005215958983171732,26.41443339884281
180,695040,352,12.1275,0.568,0.432,16.472881339862944,1.4189385175704956,-0.00019443841592874377,28.878512790799142
200,771840,351,10.823298,0.52,0.48,16.63392347497493,1.4189385175704956,-8.567308832425624e-05,30.852727675437926
220,848640,351,11.048665,0.532,0.468,16.528575856223704,1.4189385175704956,-0.00019872563570970668,24.299914667010306
240,925440,350,13.262174,0.592,0.408,16.50079865854606,1.4189385175704956,-0.00029444484498526436,24.756768864393234
260,1002240,350,10.24241,0.518,0.482,15.994507123038172,1.4189385175704956,-0.00017048439822247018,28.912482887506485
280,1079040,349,11.319688,0.552,0.448,16.124221006542445,1.4189385175704956,-0.00028750783640134613,23.592268511652946
300,1155840,350,11.083172,0.536,0.464,16.241439577527345,1.4189385175704956,-0.0007847131084417925,29.325853151082992
320,1232640,350,9.821176,0.498,0.502,16.478351209290327,1.4189385175704956,-0.0001605027573532425,30.90563439130783
340,1309440,351,10.7346,0.528,0.472,16.348289395589383,1.4189385175704956,-0.0001260016768355854,26.27200891673565
360,1386240,351,11.558787,0.55,0.45,16.311817027509214,1.4189385175704956,-0.00022816325163148575,24.244823525846005
380,1463040,351,11.586547,0.548,0.452,16.853141807418318,1.4189385175704956,-0.00015772781916894018,27.384568214416504
400,1539840,352,10.62167,0.526,0.474,16.248453749090434,1.4189385175704956,-0.0005624956815154291,28.218101915717124
420,1616640,348,10.531759,0.524,0.476,16.405576560869815,1.4189385175704956,-0.00013101653603371234,25.623624622821808
440,1693440,338,13.339045,0.598,0.402,16.66033236707002,1.4189385175704956,-0.00028799865394830705,24.73730332404375
460,1770240,330,11.174496,0.542,0.458,16.50002512074262,1.4189385175704956,-0.00021115920098964126,24.140573713183404
480,1847040,323,10.929822,0.534,0.466,16.199125130591913,1.4189385175704956,-0.00029855509201297535,23.95923261642456
500,1923840,310,11.89177,0.554,0.446,16.354957383312286,1.4189385175704956,-0.0001481028099078685,26.191123506426813
520,2000640,298,11.865989,0.562,0.438,16.248188683718443,1.4189385175704956,-0.0003211960240150802,24.715446853637694
540,2077440,287,11.562522,0.554,0.446,15.901876074798405,1.4189385175704956,-0.0006338739665807224,26.809376811981203
560,2154240,278,11.2611265,0.538,0.462,16.55616347028315,1.4189385175704956,-0.00036555515907821245,22.272254844009876
580,2231040,271,11.076337,0.54,0.46,16.371626939445733,1.4189385175704956,-0.0005310361523697793,26.676493683457373
600,2307840,264,11.793904,0.556,0.444,16.292867798566817,1.4189385175704956,-0.00010799535089063283,26.495462399721145
